Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
2000-01-03,677.1500244,686.3300171,675.4400024,675.4400024,75638600.0,0.0,0.0,0.0
2000-01-04,664.2000122,664.2000122,639.3499756,642.25,78644300.0,-33.19000244,-0.049138343,0.036790887
2000-01-05,625.4899902,640.0599976,621.2600098,632.3099976,72206900.0,-9.940002441,-0.015476843,0.029272071
2000-01-06,631.710022,638.7700195,620.2199707,624.210022,78003100.0,-8.099975586,-0.012810134,0.029336953
2000-01-07,628.5100098,646.039978,628.4400024,644.8599854,78744100.0,20.64996338,0.033081756,0.028195599
2000-01-10,652.8200073,659.8699951,651.8200073,655.1400146,72305400.0,10.2800293,0.01594149,0.012483311
2000-01-11,657.2000122,657.2000122,645.4299927,648.9400024,76650000.0,-6.200012207,-0.009463645,0.017965655
2000-01-12,640.6099854,643.4299927,636.1500244,638.4000244,77954600.0,-10.53997803,-0.016241837,0.011218245
2000-01-13,643.8800049,648.9099731,639.5999756,642.210022,77479300.0,3.809997559,0.005968041,0.014583329
2000-01-14,648.1500244,656.75,646.2399902,655.5999756,72287900.0,13.38995361,0.020849805,0.016365378
2000-01-17,662.539978,664.8499756,651.9799805,661.5100098,75266000.0,5.91003418,0.009014696,0.019630866
2000-01-18,662.3699951,663.9000244,645.2199707,647.7199707,77038200.0,-13.79003906,-0.020846304,0.028238505
2000-01-19,642.8900146,644.539978,635.6500244,642.5900269,72360800.0,-5.129943848,-0.007920003,0.013724995
2000-01-20,646.0800171,649.9299927,642.9899902,644.789978,73427800.0,2.199951172,0.003423569,0.010800047
2000-01-21,637.9000244,643.960022,636.3800049,641.4699707,75240400.0,-3.320007324,-0.005148975,0.011755792
2000-01-24,645.6500244,654.1500244,644.2800293,645.5300293,73035700.0,4.060058594,0.006329304,0.015386527
2000-01-25,633.9799805,642.1400146,633.710022,640.0300293,77938500.0,-5.5,-0.00852013,0.013059025
2000-01-26,645.710022,646.5700073,633.8300171,637.3900146,73036500.0,-2.640014648,-0.004124829,0.019905301
2000-01-27,636.2600098,640.4400024,634.0599976,634.8699951,75186500.0,-2.520019531,-0.003953654,0.010009578
2000-01-28,635.8599854,636.9899902,624.3699951,632.460022,76448300.0,-2.409973145,-0.00379601,0.019878078
2000-01-31,621.6500244,625.0200195,609.960022,612.3800049,72470400.0,-20.08001709,-0.031749069,0.023811778
2000-02-01,625.6099854,625.9400024,617.4899902,619.2299805,77937400.0,6.849975586,0.011185825,0.013798642
2000-02-02,626.6400146,632.7999878,624.8300171,629.1500244,79623200.0,9.920043945,0.016019967,0.012870777
2000-02-03,637.1300049,652.0700073,633.5100098,649.5900269,73395900.0,20.44000244,0.03248828,0.029500114
2000-02-04,657.7800293,663.0,649.1699829,660.9500122,76204500.0,11.35998535,0.017487931,0.021290378
2000-02-07,657.1699829,664.210022,651.7399902,652.4199829,77264000.0,-8.530029297,-0.01290571,0.01886683
2000-02-08,654.7000122,670.75,654.7000122,667.6599731,73121400.0,15.23999023,0.023359171,0.024600699
2000-02-09,673.4099731,676.1400146,663.6400146,667.1500244,73426600.0,-0.50994873,-0.000763785,0.018722105
2000-02-10,656.3599854,666.3800049,652.8800049,661.289978,77129700.0,-5.860046387,-0.008783701,0.020235329
2000-02-11,668.0100098,671.9699707,656.4099731,662.6799927,79350200.0,1.390014648,0.002101974,0.023529765
2000-02-14,656.7800293,665.9899902,654.7199707,654.7199707,75409800.0,-7.960021973,-0.012011864,0.01700673
2000-02-15,657.3900146,660.5700073,652.3400269,652.3400269,74385300.0,-2.379943848,-0.003635056,0.01257023
2000-02-16,664.710022,665.0300293,656.8599854,660.7199707,78560600.0,8.379943848,0.012845975,0.012524211
2000-02-17,666.9500122,674.210022,663.3599854,667.9699707,76194900.0,7.25,0.010972879,0.016421536
2000-02-18,665.7800293,673.6199951,655.1699829,655.1699829,77414100.0,-12.79998779,-0.01916252,0.02762102
2000-02-21,650.2600098,655.4299927,646.4500122,649.3400269,75602400.0,-5.829956055,-0.008898387,0.013706337
2000-02-22,651.8599854,658.3400269,644.7399902,647.2800293,79419000.0,-2.059997559,-0.003172448,0.020944399
2000-02-23,656.3099976,657.4199829,650.460022,652.5200195,79020400.0,5.239990234,0.008095399,0.010752627
2000-02-24,660.1799927,663.6900024,650.3699951,653.5499878,72374300.0,1.029968262,0.001578447,0.020413178
2000-02-25,655.25,662.960022,652.5800171,662.5599976,74056700.0,9.010009766,0.01378626,0.015882496
2000-02-28,654.960022,661.3400269,647.8699951,654.539978,77481600.0,-8.020019531,-0.012104594,0.020330282
2000-02-29,661.9299927,665.8200073,658.3800049,664.2800293,74212000.0,9.74005127,0.014880758,0.011366766
2000-03-01,673.8800049,674.5200195,662.0800171,668.6400146,77796600.0,4.359985352,0.006563475,0.018727046
2000-03-02,669.0200195,672.5900269,663.9199829,672.5900269,77956500.0,3.950012207,0.005907532,0.012966684
2000-03-03,674.5499878,687.8099976,671.6500244,680.5100098,75691700.0,7.91998291,0.01177535,0.024026483
2000-03-06,687.1799927,689.2000122,676.1400146,680.2199707,76990400.0,-0.290039063,-0.000426208,0.019191485
2000-03-07,678.710022,688.5100098,674.8400269,677.210022,76653500.0,-3.00994873,-0.004424964,0.020096415
2000-03-08,677.3900146,678.3800049,671.0100098,674.75,74040800.0,-2.460021973,-0.003632584,0.01088288
2000-03-09,675.5300293,677.8599854,663.4500122,668.0900269,75661800.0,-6.659973145,-0.009870283,0.021356018
2000-03-10,676.8200073,678.039978,672.7399902,676.6099854,79029500.0,8.519958496,0.01275271,0.007933044
2000-03-13,666.3099976,669.0900269,651.5700073,658.0599976,72594300.0,-18.54998779,-0.027416072,0.025893823
2000-03-14,661.2199707,665.5599976,657.75,661.1900024,73539700.0,3.130004883,0.004756413,0.011868215
2000-03-15,649.6900024,653.4299927,641.8300171,644.0300293,75199300.0,-17.15997314,-0.025953165,0.017544088
2000-03-16,653.4400024,663.8699951,649.4699707,663.3900146,74260500.0,19.35998535,0.030060687,0.022359244
