Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
3/1/2000,6961.720215,7159.330078,6720.870117,6750.759766,43072500,0,0,0
4/1/2000,6747.240234,6755.359863,6510.459961,6586.950195,46678400,-163.8095703,-0.024265353,0.036277384
5/1/2000,6585.850098,6585.850098,6388.910156,6502.069824,52682800,-84.88037109,-0.012886141,0.029898502
6/1/2000,6501.450195,6539.310059,6402.629883,6474.919922,41180600,-27.14990234,-0.004175578,0.021021026
7/1/2000,6489.939941,6791.529785,6470.140137,6780.959961,56058900,306.0400391,0.047265455,0.049636081
10/1/2000,6785.470215,6975.259766,6785.470215,6925.52002,42006200,144.5600586,0.021318524,0.027988596
11/1/2000,6926.040039,6943.830078,6821.259766,6891.25,43890000,-34.27001953,-0.004948368,0.017698355
12/1/2000,6878.919922,6913.5,6783.220215,6912.810059,34683100,21.56005859,0.003128614,0.018905102
13/1/2000,6913.129883,7106.450195,6898.689941,6955.97998,48116200,43.16992188,0.006244917,0.030054385
14/1/2000,6960.290039,7207.450195,6960.290039,7173.220215,47040900,217.2402344,0.031230716,0.03553204
17/1/2000,7177.47998,7297.040039,7112.970215,7258.899902,44872800,85.6796875,0.011944383,0.025660696
18/1/2000,7262.209961,7306.47998,7053.859863,7072.120117,46792700,-186.7797852,-0.025731142,0.034801433
19/1/2000,7065.310059,7110.189941,6987.120117,7091.040039,43646500,18.91992188,0.002675283,0.017402112
20/1/2000,7095.97998,7230.75,7076.810059,7112.660156,46411600,21.62011719,0.003048935,0.021709078
21/1/2000,7103.700195,7103.700195,6939.939941,6992.75,47471900,-119.9101563,-0.016858693,0.02302377
24/1/2000,6987.589844,7092.5,6921.970215,6931.990234,33473100,-60.75976563,-0.008688966,0.024386655
25/1/2000,6928.080078,6928.080078,6809.640137,6809.640137,44769800,-122.3500977,-0.017650068,0.017085994
26/1/2000,6838.049805,6980.930176,6838.049805,6969.370117,40597700,159.7299805,0.02345645,0.020982074
27/1/2000,6983.419922,7169.870117,6944.649902,7126.129883,43804300,156.7597656,0.022492673,0.03231572
28/1/2000,7128.009766,7214.580078,7040.490234,7066.600098,35825300,-59.52978516,-0.008353733,0.024429788
31/1/2000,7054.240234,7054.240234,6816.540039,6835.600098,41254200,-231,-0.032688987,0.033637137
1/2/2000,6841.120117,7052.220215,6841.120117,7050.459961,48053900,214.8598633,0.03143248,0.030882453
2/2/2000,7063.569824,7172.049805,7038.709961,7171.950195,43122700,121.4902344,0.017231533,0.018912219
3/2/2000,7175.870117,7354.560059,7134.419922,7354.259766,60250500,182.3095703,0.025419804,0.030694599
4/2/2000,7355.689941,7491.790039,7338.149902,7444.609863,52464500,90.35009766,0.01228541,0.020891312
