Date,Open,High,Low,Close,Adj Close,Volume,Change,Price-Change,Amplitude
2000-08-03,6465.009766,6486.600098,6354.930176,6354.930176,6354.930176,71329900.0,-174.9799805,-0.02679669,0.020164125
2000-08-04,6424.100098,6479.029785,6391.459961,6461.350098,6461.350098,67825400.0,106.4199219,0.016746041,0.013779825
2000-08-07,6462.220215,6536.950195,6447.950195,6519.040039,6519.040039,67234800.0,57.68994141,0.008928465,0.013774211
2000-08-08,6519.040039,6573.279785,6492.009766,6532.439941,6532.439941,71099400.0,13.39990234,0.002055502,0.012466562
2000-08-09,6555.029785,6619.240234,6553.72998,6570.180176,6570.180176,72165400.0,37.74023438,0.005777357,0.010028451
2000-08-10,6565.319824,6611.140137,6539.970215,6562.540039,6562.540039,71552200.0,-7.640136719,-0.00116285,0.010832263
2000-08-11,6570.419922,6580.759766,6513.77002,6553.0,6553.0,69668700.0,-9.540039063,-0.001453711,0.010207899
2000-08-14,6613.370117,6625.689941,6554.790039,6609.359863,6609.359863,67100000.0,56.35986328,0.00860062,0.010819457
2000-08-15,6645.669922,6676.660156,6604.680176,6636.609863,6636.609863,70973400.0,27.25,0.004122941,0.010890613
2000-08-16,6666.899902,6710.589844,6646.410156,6684.080078,6684.080078,67131600.0,47.47021484,0.007152781,0.009670553
2000-08-17,6712.290039,6712.299805,6601.129883,6635.339844,6635.339844,72121700.0,-48.74023438,-0.007291988,0.016632045
2000-08-18,6640.459961,6649.669922,6587.899902,6594.350098,6594.350098,70441000.0,-40.98974609,-0.00617749,0.009309247
2000-08-21,6559.52002,6615.339844,6529.580078,6571.629883,6571.629883,72476900.0,-22.72021484,-0.003445406,0.013005037
2000-08-22,6599.089844,6605.390137,6513.709961,6513.709961,6513.709961,67227500.0,-57.91992188,-0.008813631,0.013950904
2000-08-23,6539.509766,6552.560059,6449.649902,6501.700195,6501.700195,71223400.0,-12.00976563,-0.001843767,0.015799008
2000-08-24,6513.379883,6523.149902,6454.529785,6461.930176,6461.930176,67120700.0,-39.77001953,-0.006116865,0.01055418
2000-08-25,6485.049805,6602.290039,6485.049805,6595.109863,6595.109863,67070100.0,133.1796875,0.020609893,0.018143222
2000-08-28,6598.819824,6639.459961,6570.660156,6615.02002,6615.02002,67367200.0,19.91015625,0.003018927,0.010431942
2000-08-29,6608.879883,6642.870117,6561.700195,6633.990234,6633.990234,71613100.0,18.97021484,0.002867749,0.012270548
2000-08-30,6627.279785,6698.040039,6588.379883,6634.620117,6634.620117,70078000.0,0.629882813,9.49e-05,0.016530045
2000-08-31,6636.240234,6668.629883,6562.430176,6625.419922,6625.419922,73480100.0,-9.200195313,-0.001386695,0.016006901
2000-09-01,6648.640137,6843.859863,6648.640137,6813.660156,6813.660156,73583500.0,188.2402344,0.028411819,0.029465261
2000-09-04,6823.169922,6944.77002,6822.709961,6922.330078,6922.330078,67975700.0,108.6699219,0.015948832,0.017914022
2000-09-05,6929.049805,6929.049805,6838.700195,6856.759766,6856.759766,68192200.0,-65.5703125,-0.009472289,0.013051907
2000-09-06,6836.279785,6873.359863,6795.029785,6796.790039,6796.790039,71638200.0,-59.96972656,-0.008746074,0.011423775
2000-09-07,6780.720215,6848.25,6769.279785,6834.459961,6834.459961,71143000.0,37.66992188,0.005542311,0.011618752
