Date,Open,High,Low,Close,Adj Close,Volume,Change,Price-Change,Amplitude
2000-01-03,7185.709961,7278.77002,7059.450195,7077.709961,7077.709961,100971600.0,0.0,0.0,0.0
2000-01-04,7074.709961,7074.709961,6673.359863,6675.27002,6675.27002,101018400.0,-402.4399414,-0.056860191,0.056706209
2000-01-05,6674.930176,6781.029785,6524.279785,6764.310059,6764.310059,104348600.0,89.04003906,0.013338792,0.038462864
2000-01-06,6784.0,6822.459961,6742.910156,6751.649902,6751.649902,102665300.0,-12.66015625,-0.001871611,0.011760224
2000-01-07,6768.859863,7054.290039,6768.859863,7047.089844,7047.089844,103018500.0,295.4399414,0.043758184,0.042275619
2000-01-10,7047.919922,7337.430176,7047.919922,7333.700195,7333.700195,102920600.0,286.6103516,0.040670739,0.041082243
2000-01-11,7332.339844,7363.109863,7077.890137,7143.129883,7143.129883,104582200.0,-190.5703125,-0.025985561,0.038891653
2000-01-12,7153.859863,7174.47998,7091.069824,7174.100098,7174.100098,98377000.0,30.97021484,0.004335665,0.011676976
2000-01-13,7174.330078,7426.410156,7174.330078,7274.52002,7274.52002,97526400.0,100.4199219,0.013997564,0.035137519
2000-01-14,7278.609863,7394.220215,7278.609863,7381.490234,7381.490234,100293300.0,106.9702148,0.01470478,0.015892506
2000-01-17,7380.620117,7447.459961,7370.640137,7447.120117,7447.120117,104266900.0,65.62988281,0.008891143,0.010407089
2000-01-18,7446.890137,7446.890137,7302.450195,7303.319824,7303.319824,101691500.0,-143.800293,-0.019309517,0.019395409
2000-01-19,7303.009766,7310.97998,7170.850098,7171.200195,7171.200195,100097500.0,-132.1196289,-0.018090352,0.019187149
2000-01-20,7172.290039,7192.660156,6991.47998,7036.790039,7036.790039,102007500.0,-134.4101563,-0.018743049,0.028053906
2000-01-21,7037.259766,7083.290039,6862.669922,6890.779785,6890.779785,104946900.0,-146.0102539,-0.020749554,0.03135238
2000-01-24,6890.830078,7098.200195,6855.350098,6855.350098,6855.350098,98287400.0,-35.4296875,-0.005141608,0.03524276
2000-01-25,6855.839844,6911.669922,6784.390137,6885.879883,6885.879883,98668100.0,30.52978516,0.004453425,0.018566489
2000-01-26,6885.390137,6976.120117,6862.319824,6918.939941,6918.939941,104987700.0,33.06005859,0.004801138,0.016526616
2000-01-27,6920.75,7010.779785,6839.180176,6854.390137,6854.390137,100464600.0,-64.54980469,-0.009329436,0.024801431
2000-01-28,6853.709961,6853.709961,6627.669922,6648.47998,6648.47998,102452700.0,-205.9101563,-0.030040624,0.032977411
2000-01-31,6649.97998,6649.97998,6510.839844,6585.669922,6585.669922,97946900.0,-62.81005859,-0.009447281,0.020928112
2000-02-01,6585.759766,6747.359863,6566.509766,6740.52002,6740.52002,97998600.0,154.8500977,0.023513188,0.027461154
2000-02-02,6733.77002,6809.669922,6688.839844,6769.810059,6769.810059,104992700.0,29.29003906,0.004345368,0.017925928
2000-02-03,6771.419922,7095.930176,6771.419922,7043.100098,7043.100098,96171000.0,273.2900391,0.040368937,0.047934913
2000-02-04,7043.740234,7372.160156,7043.740234,7236.540039,7236.540039,101900200.0,193.4399414,0.02746517,0.046630023
2000-02-07,7237.609863,7594.22998,7237.609863,7592.569824,7592.569824,98482600.0,356.0297852,0.049198897,0.049280473
2000-02-08,7594.879883,7802.120117,7433.589844,7583.509766,7583.509766,103392400.0,-9.060058594,-0.00119328,0.048538279
2000-02-09,7583.830078,7643.850098,7448.490234,7469.160156,7469.160156,105653800.0,-114.3496094,-0.015078719,0.025761141
2000-02-10,7471.140137,7738.439941,7471.140137,7723.859863,7723.859863,99214600.0,254.699707,0.03410018,0.03578713
2000-02-11,7726.379883,7818.009766,7550.439941,7623.470215,7623.470215,103025700.0,-100.3896484,-0.012997342,0.034641983
2000-02-14,7623.740234,7644.490234,7526.069824,7558.22998,7558.22998,98405200.0,-65.24023438,-0.008557813,0.015533662
2000-02-15,7557.040039,7614.370117,7403.950195,7574.640137,7574.640137,102527400.0,16.41015625,0.002171164,0.027839841
2000-02-16,7513.910156,7642.350098,7513.910156,7600.720215,7600.720215,105539300.0,26.08007813,0.003443078,0.016956573
2000-02-17,7603.220215,7681.919922,7521.899902,7538.189941,7538.189941,106141500.0,-62.53027344,-0.008226888,0.021053271
2000-02-18,7538.810059,7548.310059,7314.899902,7345.569824,7345.569824,100930000.0,-192.6201172,-0.025552569,0.030963687
2000-02-21,7345.890137,7351.220215,7296.319824,7314.970215,7314.970215,100525100.0,-30.59960938,-0.004165723,0.007473946
2000-02-22,7315.930176,7353.620117,7180.02002,7234.759766,7234.759766,105892700.0,-80.21044922,-0.010965246,0.023732167
2000-02-23,7235.680176,7487.120117,7235.680176,7462.120117,7462.120117,105514200.0,227.3603516,0.031426109,0.034754429
2000-02-24,7462.310059,7514.990234,7334.899902,7410.819824,7410.819824,100852300.0,-51.30029297,-0.006874761,0.024133936
2000-02-25,7410.970215,7467.950195,7302.669922,7304.350098,7304.350098,97306100.0,-106.4697266,-0.014366795,0.022302563
2000-02-28,7304.669922,7376.060059,7283.009766,7336.649902,7336.649902,104189800.0,32.29980469,0.004421996,0.012739024
2000-02-29,7339.220215,7411.490234,7329.810059,7368.549805,7368.549805,105982300.0,31.89990234,0.00434802,0.011133171
2000-03-01,7368.660156,7620.859863,7368.660156,7614.830078,7614.830078,101989200.0,246.2802734,0.033423167,0.034226505
