Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
10/2/2000,6315.399902,6320,6199.799805,6279.799805,2218541000,-35.60009766,-0.00563703,0.019032872
11/2/2000,6279.799805,6325.700195,6127.399902,6193.299805,3433671000,-86.5,-0.013774324,0.031577486
14/2/2000,6193.299805,6197.5,6027.5,6068.600098,1429935000,-124.699707,-0.020134615,0.027449018
15/2/2000,6068.600098,6167.5,5972.700195,6005.200195,1510016000,-63.39990234,-0.010447204,0.032099628
16/2/2000,6005.200195,6147.399902,6002.5,6147.399902,1614733000,142.199707,0.023679428,0.024129071
17/2/2000,6147.399902,6262.200195,6102.899902,6209.299805,1522351000,61.89990234,0.010069282,0.025913442
18/2/2000,6209.299805,6264.100098,6151.399902,6165,1098726000,-44.29980469,-0.007134428,0.018150226
21/2/2000,6165,6193.600098,6029.899902,6081.600098,960304000,-83.39990234,-0.013527965,0.026553154
22/2/2000,6081.600098,6172.799805,6002.700195,6014.700195,1830338000,-66.89990234,-0.011000378,0.027969549
23/2/2000,6014.700195,6167.299805,6014.700195,6144.100098,1393864000,129.3999023,0.021513941,0.025371108
24/2/2000,6144.100098,6288.799805,6070.899902,6086.700195,1213197000,-57.39990234,-0.00934228,0.035464901
25/2/2000,6086.700195,6198,6086.700195,6198,1181230000,111.2998047,0.018285738,0.018285738
28/2/2000,6198,6271.100098,6054.100098,6099.600098,925049000,-98.39990234,-0.015876073,0.035011294
29/2/2000,6099.600098,6245.5,6099.600098,6232.600098,1121708000,133,0.021804708,0.023919585
1/3/2000,6232.600098,6387.299805,6232.600098,6364.899902,1499256000,132.2998047,0.021227065,0.024821055
2/3/2000,6364.899902,6436.5,6324.200195,6432.100098,1124952000,67.20019531,0.010557934,0.017643609
3/3/2000,6432.100098,6506.299805,6403,6487.5,1107792000,55.39990234,0.008613035,0.016060043
6/3/2000,6487.5,6593.299805,6457,6567.799805,1334247000,80.29980469,0.012377619,0.021009604
7/3/2000,6567.799805,6568.299805,6465.5,6466.5,1164979000,-101.2998047,-0.015423705,0.015652092
8/3/2000,6466.5,6479.700195,6387.200195,6411.200195,1315382000,-55.29980469,-0.008551737,0.014304492
9/3/2000,6411.200195,6544.200195,6411.200195,6532.100098,983965000,120.8999023,0.018857608,0.020744946
10/3/2000,6532.100098,6642.5,6532.100098,6568.700195,1005534000,36.60009766,0.005603113,0.016901135
13/3/2000,6568.700195,6568.700195,6380.600098,6466.899902,822972000,-101.800293,-0.015497783,0.028635817
14/3/2000,6466.899902,6539.700195,6457.100098,6487.100098,753821000,20.20019531,0.003123629,0.01277275
15/3/2000,6487.100098,6487.100098,6396.100098,6447,1196995000,-40.10009766,-0.006181514,0.01402784
16/3/2000,6447,6618.200195,6447,6557.299805,1361503000,110.2998047,0.017108702,0.026555017
17/3/2000,6557.200195,6713.100098,6504.100098,6558,1309177000,0.700195313,0.000106781,0.031872875
20/3/2000,6558,6653.399902,6523.299805,6624.5,764551000,66.5,0.010140287,0.01983838
21/3/2000,6624.5,6630.600098,6543.399902,6617.899902,1079931000,-6.600097656,-0.000996316,0.013163287
22/3/2000,6617.899902,6692.299805,6551.700195,6609.600098,1181720000,-8.299804688,-0.001254145,0.021245351
23/3/2000,6609.600098,6617.799805,6538.700195,6594.600098,856587000,-15,-0.002269426,0.011967382
24/3/2000,6594.600098,6755.100098,6594.600098,6738.5,1088155000,143.8999023,0.021820869,0.024338094
27/3/2000,6738.5,6770.399902,6654.399902,6687.200195,789449000,-51.29980469,-0.007612941,0.017214514
28/3/2000,6687.200195,6734.899902,6623.700195,6650.100098,726224000,-37.10009766,-0.005547927,0.016628739
29/3/2000,6650.100098,6657.299805,6570.299805,6598.799805,892675000,-51.30029297,-0.007714214,0.01308251
30/3/2000,6598.799805,6598.799805,6418.5,6445.200195,1119761000,-153.5996094,-0.023276901,0.027323121
31/3/2000,6445.200195,6557.399902,6385.799805,6540.200195,1019644000,95,0.014739651,0.026624479
3/4/2000,6540.200195,6540.200195,6437.899902,6462.100098,949900000,-78.10009766,-0.011941545,0.015641768
4/4/2000,6462.100098,6531.299805,6415.5,6427,1278570000,-35.10009766,-0.005431686,0.017919841
5/4/2000,6427,6428.5,6283.200195,6379.299805,566610000,-47.70019531,-0.007421845,0.022607718
6/4/2000,6379.299805,6464.899902,6353.799805,6451.100098,1068579000,71.80029297,0.0112552,0.01741572
7/4/2000,6451.100098,6586.299805,6451.100098,6569.899902,857438000,118.7998047,0.018415433,0.02095762
10/4/2000,6569.899902,6579.600098,6510.399902,6533.399902,816581000,-36.5,-0.00555564,0.010532915
11/4/2000,6533.399902,6534,6358.399902,6379.200195,1114607000,-154.199707,-0.023601755,0.026877292
12/4/2000,6379.200195,6443.5,6333.600098,6350.799805,931780000,-28.40039063,-0.00445203,0.01722785
13/4/2000,6350.799805,6381.899902,6268.399902,6357,1107726000,6.200195313,0.000976286,0.017871765
14/4/2000,6357,6359.100098,6149.799805,6178.100098,996451000,-178.8999023,-0.02814219,0.032924381
17/4/2000,6178.100098,6178.100098,5915.200195,5994.600098,1204901000,-183.5,-0.029701688,0.042553519
18/4/2000,5994.600098,6084.200195,5951.700195,6074,1016954000,79.39990234,0.013245238,0.022103226
19/4/2000,6074,6193.600098,6074,6184.899902,1251275000,110.8999023,0.018258133,0.0196905
20/4/2000,6184.899902,6248.100098,6134.399902,6241.200195,879208000,56.30029297,0.009102862,0.018383514
25/4/2000,6241.200195,6313.799805,6155.700195,6283,1028703000,41.79980469,0.006697398,0.025331604
26/4/2000,6283,6342.200195,6247,6256.5,1031032000,-26.5,-0.00421773,0.015152029
27/4/2000,6256.5,6306.200195,6127.899902,6179.299805,970702000,-77.20019531,-0.012339198,0.028498409
28/4/2000,6179.299805,6341.899902,6179.299805,6327.399902,882175000,148.1000977,0.023967133,0.026313677
2/5/2000,6327.399902,6412.600098,6311.899902,6373.399902,1035666000,46,0.007269969,0.015914941
3/5/2000,6373.399902,6373.399902,6176.100098,6184.799805,825000000,-188.6000977,-0.029591756,0.030956759
4/5/2000,6184.799805,6231.399902,6162.5,6199.600098,906960000,14.80029297,0.002393011,0.011140199
5/5/2000,6199.600098,6267.899902,6190.5,6238.799805,845274000,39.19970703,0.006322941,0.01248466
8/5/2000,6238.799805,6299.399902,6174.299805,6216.299805,603450000,-22.5,-0.003606463,0.020051949
9/5/2000,6216.299805,6243.100098,6112.899902,6123.799805,901816000,-92.5,-0.014880235,0.020944967
10/5/2000,6123.799805,6182.899902,6090.200195,6100.700195,1171742000,-23.09960938,-0.003772104,0.015137612
11/5/2000,6100.600098,6263.600098,6051.5,6245.899902,1084977000,145.199707,0.023800499,0.034766517
12/5/2000,6245.899902,6304.200195,6220.600098,6283.5,870252000,37.60009766,0.006019965,0.013384796
15/5/2000,6283.5,6290.5,6218.200195,6247.700195,688447000,-35.79980469,-0.005697431,0.011506295
